电影名,类型,产地,主演,上映日期,时长,carrot,apple,coconut,orange
勇敢者游戏：决战丛林,动作/奇幻/冒险,美国,道恩·强森/凯文·哈特/杰克·布莱克/凯伦·吉兰/尼克·乔纳斯,2018年1月12日,119min, , , , 
神奇动物：格林德沃之罪,奇幻/冒险,美国/英国,埃迪·雷德梅恩/凯瑟琳·沃特森/艾莉森·苏朵儿/丹·福格勒,2018年11月16日,134min,94, , , 
快把我哥带走,喜剧/奇幻,中国内地,张子枫/彭昱畅/赵今麦,2018年8月17日,115min, , , , 
移动迷宫3：死亡解药,科幻/动作/惊悚,美国,迪伦·奥布莱恩/卡雅·斯考达里奥/托马斯·桑斯特/李起弘,2018年1月26日,142min, , , , 
小萝莉的猴神大叔,喜剧/剧情,印度,萨尔曼·汗/卡琳娜·卡普/哈莎妮·马霍特拉,2018年3月2日,141min,56, , , 
无敌破坏王2：大闹互联网,动画/喜剧/冒险,美国,约翰·C·赖利/萨拉·丝沃曼,2018年11月23日,113min, , , , 
星球大战：最后的绝地武士,科幻/动作/冒险,美国,黛茜·雷德利/约翰·波耶加/奥斯卡·伊萨克/亚当·德赖弗/马克·哈米尔/凯丽·费雪/凯莉·玛丽·陈,2018年1月5日,152min, , , , 
哆啦A梦：大雄的金银岛,动画/奇幻/冒险,日本,今井一晓,2018年6月1日,109min,77, , , 
游侠索罗：星球大战外传,科幻/动作/冒险,美国,阿尔登·埃伦瑞奇/艾米莉亚·克拉克/伍迪·哈里森/保罗·贝坦尼/唐纳德·格洛沃/乔纳斯·索塔莫/桑迪·牛顿,2018年5月25日,135min, , , , 
小偷家族,剧情/犯罪,日本,中川雅也/安藤樱/树木希林/松冈茉优,2018年8月3日,121min,96, , , 
解忧杂货店,剧情/奇幻,中国香港/中国内地,王俊凯/迪丽热巴/董子健,2017年12月29日,109min, , , , 
加勒比海盗5：死无对证,动作/奇幻/冒险,美国,约翰尼·德普/哈维尔·巴登/卡雅·斯考达里奥/布兰顿·思怀兹/杰弗里·拉什,2017年5月26日,129min, , , , 
金刚：骷髅岛,动作/奇幻/冒险,美国,汤姆·希德勒斯顿/布丽·拉尔森/塞缪尔·杰克逊/约翰·古德曼/景甜/约翰·C·赖利/托比·凯贝尔,2017年3月24日,119min, , , , 
生化危机：终章,科幻/动作,美国,米拉·乔沃维奇/伊恩·格雷/艾丽·拉特/艾尔·安德森,2017年2月24日,99min,87, , , 
寻梦环游记,动画/冒险,美国,安东尼·冈萨雷兹/盖尔·加西亚·贝纳尔/本杰明·布拉特/阿兰纳·乌巴奇,2017年11月24日,105min, , , , 
乘风破浪,剧情,中国内地,邓超/彭于晏/赵丽颖/董子健/高华阳,2017年1月28日,102min,72, , , 
蜘蛛侠：英雄归来,科幻/冒险/奇幻/动作,美国,汤姆·赫兰德/小罗伯特·唐尼/迈克尔·基顿/玛丽莎·托梅/赞达亚/雅各·巴塔伦,2017年9月8日,133min, , , , 
雷神3：诸神黄昏,动作/冒险/奇幻,美国,克里斯·海姆斯沃斯/凯特·布兰切特/汤姆·希德勒斯顿/马克·鲁法洛/泰莎·汤普森/杰夫·高布伦/伊德瑞斯·艾尔巴/卡尔·厄本,2017年11月3日,125min, , , , 
金刚狼3：殊死一战,动作/科幻,美国,休·杰克曼/达芙妮·基恩/帕特里克·斯图尔特/波伊德·霍布鲁克,2017年3月3日,123min, , , , 
悟空传,动作/奇幻/剧情,中国内地,彭于晏/倪妮/欧豪/余文乐,2017年7月13日,123min, , ,89, 
银河护卫队2,动作/科幻,美国,克里斯·帕拉特/佐伊·索尔达娜/戴夫·巴蒂斯塔/布莱德利·库珀/范·迪塞尔,2017年5月5日,136min, , , , 
神奇女侠,动作/冒险/奇幻,美国,盖尔·加朵/克里斯·派恩/康妮·尼尔森/罗宾·莱特,2017年6月2日,142min, , , , 
八佰,战争,中国内地,黄志忠/欧豪/王千源/姜武/张译/杜淳/魏晨/李晨/俞灏明,2020年8月21日,147min, , , , 
人在囧途,喜剧,中国内地,徐峥/王宝强/左小青/李曼/李小璐,2010年6月4日,88min, , , , 
三傻大闹宝莱坞,剧情/喜剧/冒险,印度,阿米尔·汗/马德哈万/沙尔曼·乔什/卡琳娜·卡普,2009年8月21日,170min, , , , 
西游记之大圣归来,神话/动作/动画/冒险/悬疑,中国内地,林子杰/刘金燕/成龙/吴文伦赵铭洲/张欣,2015年7月10日,85min, , , , 
复仇者联盟,动作/科幻/奇幻/冒险,美国,小罗伯特·唐尼/克里斯·埃文斯/马克·鲁法洛/克里斯·海姆斯沃斯/斯嘉丽·约翰逊/杰瑞米·雷纳/汤姆·希德勒斯顿/塞缪尔·杰克逊/寇碧·史莫德斯/格温妮丝·帕特洛/保罗·贝坦尼/斯特兰·斯卡斯加德/查德维克·博斯曼/唐·钱德尔,2012年5月4日,142min, , , , 
钢铁侠,动作/冒险/科幻,美国,小罗伯特·唐尼/格温妮斯·帕特洛/泰伦斯·霍华德/杰夫·布里吉斯,2008年4月30日,126min, , , , 
神话,动作/剧情/古装,中国香港,成龙/金喜善/梁家辉/孙周/玛丽卡·沙拉瓦特,2005年9月23日,120min, , , , 
你的名字,动画/剧情/爱情/科幻,日本,神木隆之介/上白石萌音,2017年8月26日,107min, , , , 
